"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","highway","railway","place","natural"
"83352983","way","https://osm.org/way/83352983","54.36873742128554","-4.443818620243409","Andreas","Andreas","Andreas","","","village",""
"5712582248","node","https://osm.org/node/5712582248","54.367244","-4.444461","Andreas","Andreas","Andreas","","","village",""
"25986094","way","https://osm.org/way/25986094","54.232093654250406","-4.3991388456330744","Ard Reayrt","","Ard Reayrt","residential","","",""
"25987046","way","https://osm.org/way/25987046","54.231591988758225","-4.399984658961466","Ard Reayrt","","Ard Reayrt","residential","","",""
"25987049","way","https://osm.org/way/25987049","54.232651000000004","-4.3982410000000005","Ard Reayrt","","Ard Reayrt","residential","","",""
"25987144","way","https://osm.org/way/25987144","54.23287902447625","-4.398696883604396","Ard Reayrt","","Ard Reayrt","residential","","",""
"25988183","way","https://osm.org/way/25988183","54.232578033756965","-4.400589581889773","Ard Reayrt","","Ard Reayrt","residential","","",""
"25988836","way","https://osm.org/way/25988836","54.2320245","-4.3988525","Ard Reayrt","","Ard Reayrt","residential","","",""
"25988897","way","https://osm.org/way/25988897","54.233335","-4.4002155","Ard Reayrt","","Ard Reayrt","residential","","",""
"25988998","way","https://osm.org/way/25988998","54.23259094356935","-4.4002498049953935","Ard Reayrt","","Ard Reayrt","residential","","",""
"25989097","way","https://osm.org/way/25989097","54.23311859353069","-4.4000275884839475","Ard Reayrt","","Ard Reayrt","residential","","",""
"1249659059","way","https://osm.org/way/1249659059","54.23216157933848","-4.402247085406568","Ard Reayrt","","Ard Reayrt","residential","","",""
"1249659060","way","https://osm.org/way/1249659060","54.23187044629946","-4.402221332024392","Ard Reayrt","","Ard Reayrt","residential","","",""
"106092761","way","https://osm.org/way/106092761","54.167122431133826","-4.456236810073673","Derby Castle Depot","","Ard-hie Chashtal Derby","","","",""
"25987569","way","https://osm.org/way/25987569","54.174299876130114","-4.457168978245906","Victoria Avenue","Victoria Avenue","Ardane Varraight","residential","","",""
"475393205","node","https://osm.org/node/475393205","54.101086","-4.598122","Arragon Moar","","Arragon Moar","","","locality",""
"25987768","way","https://osm.org/way/25987768","54.091601547451454","-4.761047525486355","Spaldrick Avenue","Spaldrick Avenue","Aslyl Spaldrick","residential","","",""
"25988554","way","https://osm.org/way/25988554","54.09169253088317","-4.7602807676024765","Spaldrick Avenue","Spaldrick Avenue","Aslyl Spaldrick","residential","","",""
"64754627","way","https://osm.org/way/64754627","54.091860499999996","-4.7600905000000004","Spaldrick Avenue","Spaldrick Avenue","Aslyl Spaldrick","residential","","",""
"25986380","way","https://osm.org/way/25986380","54.07010850000001","-4.738047","Linden Avenue","Linden Avenue","Astyl Biljyn Theiley","residential","","",""
